Year,COURSE CODE,"1. As a complete and useful guide for the course, the syllabus was: ",2. Relevance of activities and assignments to course goals was:,"3. Relevance of required readings (websites, articles, text, etc.) ",4. The effectiveness of the delivery format was: ,"5. Overall, the course content was: ",COURSE CONTENT,1. Quality and helpfulness of the mentor feedback was: ,2. Timely response by the mentor for inquiries was: ,3. MentorÂs availability for extra help was: ,"4. Overall, the mentor was: ",MENTOR
2023,GE6108,4,4,4,3,3, ,5,5,5,5, 
2023,COMP121,5,5,5,5,5,None. The whole online education is great. ,5,5,5,5,The mentor prepared all the things needed. 
2023,ECON6352,5,5,5,5,5,This is a well planed online education system more power to our educators who tirelessly providing the learners.,5,5,5,5,The mentor is really kind in giving and extending help to students like me. 
2023,FILI6201,4,4,4,4,4,The modules are well prepared.,4,4,4,4,The mentor is Great.
2023,FILI121,4,4,4,4,4, ,4,4,4,4, 
2023,BP002,5,5,5,5,5, ,5,5,5,5, 
2023,BP002,5,4,4,4,4, ,4,4,4,4, 
2023,GE6106,5,5,5,5,5,IT IS VERY HELPFUL.,5,5,5,5,THE BEST MENTOR - HE HAS A STRONG COMMUNICATION SKILLS AND HE DEMONSTRATE THE PASSION OF HIS PROFESSION. 
2023,FILI6301,4,4,4,3,4, ,5,5,5,5, 
2023,PSYC6102,5,5,5,5,5,This course is really helpful for future research work,5,5,5,5,He is very knowledgeable and a very good mentor
2023,GE6100,5,5,5,5,5,"It was excellent, video lecture, presentation and module are very helpful. I've learned a lot.",5,5,5,5,"I appreciate how video lecture is very clear and understandable so that even through distance learning, lesson discussions are available. Thanks for consideration."
2023,EDUC6242,4,4,4,4,4, ,4,4,4,4, 
2023,PHYED6102,5,5,5,5,5,Everything that distance learner needs are provided. It was excellent.,5,5,5,5,I would like to thank the mentor/ professor. He was so considerate and responding quickly whenever I needed assistance. Thank you very much.
2023,GE6104,5,5,5,5,5, ,5,5,5,5, 
2023,RSCH6258,5,4,4,4,4, ,4,4,4,4, 
2023,CYBS6200,5,5,5,5,5, ,5,5,5,5, 
2023,ITE6101,3,4,4,4,4,"There must be a copy of the result for every long quizzes and final examinations, so as student must be aware also for how are examinations are being checked. And also presentations and modules must be the same for very lesson.",4,3,3,4,Presentations and Module must be the same. 
2023,BA312,5,5,5,5,5, ,5,5,5,5, 
2023,IT6223,5,5,5,5,5, ,5,5,5,5, 
2023,PHYED6101,4,5,3,3,4, ,3,2,2,3, 
2023,PEDH121,4,4,4,4,4,none,2,2,3,3,None.
2023,REM6211,5,5,5,5,5, ,5,5,5,5, 
2023,GE6115,5,5,5,5,5, ,4,4,4,4, 
2023,PSYC6202,5,5,5,3,4,"considering the complexity of some of the concepts within physiological psychology, it might prove useful to provide an interactive website or videos that allow students to interact and/or see how these concepts unfold within the body.",5,5,5,5, 
2023,PHYED6200,4,5,5,5,5, ,4,5,4,4, 
2023,PEDH121,5,5,5,5,5, ,5,5,5,5, 
2023,GE6108,5,5,5,5,5,Some words are incorrect spelling or missing.,5,5,5,5, 
2023,PEDH122,5,5,5,5,5, ,5,5,5,5, 
2023,MISLA6111,4,4,5,5,5, ,5,5,5,5, 
2023,GE6114,3,3,3,3,3, ,3,3,3,3, 
2023,PEDH111,3,3,3,3,3, ,3,3,3,3, 
2023,GE6107,5,4,4,5,5, ,4,4,4,5, 
2023,MISLA6111,5,5,5,5,5,Everything is good.,5,5,5,5,So far so good.
2023,PSYC6205,5,5,5,5,5,The content was complete even with a recorded virtual class ,5,5,5,5,Responsive and helpful
2023,MBA105,5,5,5,5,5, ,5,5,5,5,Prof. Moises deliveres this subject in the most easy way to understand. Thank you!
2023,ENGL112,5,5,5,5,5, ,4,4,4,4,"It is evident that MaÃ¡m Precious Felmar A. Elivera is possibly still going through a transition period, thus the pending tickets, so it is understandable. I am sure that once she has settled down, she will be a very helpful and accommodating subject teacher."
2023,ACTG6141,4,5,4,4,4, ,4,4,4,4, 
2023,GE6102,4,4,3,4,4,Avoid multiple questions with the same content. ,4,4,4,4,There are some questions on the quizes that I was not able to read on the previous modules. It was included on the next lesson but I cannot do an advance study without finishing the pervious lesson so it was really challenging to pass the exam. 
2023,CS6105,5,5,5,5,5,no,5,5,5,5,Excellent
2023,ENGL6403,5,5,5,5,5, ,5,5,5,5, 
2023,GE6102,5,5,5,5,5, ,4,4,4,4, 
2023,PDEV111,3,3,3,3,3, ,3,3,3,3, 
2023,GE6116,3,4,3,3,4,I wish video are more like the mentor discussing the topic and not just the like system reading.,4,4,4,4,I never spoke to send query to my mentor so I am not really sure. 
2023,MAPEH6104,4,4,4,4,4,Thank you ,4,4,4,4,Thank you nk 
2023,GE6100,5,5,5,5,5, ,5,5,5,5, 
2023,ICT112,4,4,4,5,4,"To me, I would prefer less values lessons, as we students have been learning them since elementary. Modules like learning basic code would be interesting, and would truly help for future references.",5,5,4,5,I have nothing to comment.
2023,MEIL122,4,4,4,4,4, ,5,5,5,5, 
2023,GE6114,4,4,4,5,5, ,4,4,4,4, 
2023,GE6103,4,4,5,5,4,"It's a good platform, especially for an Information Technology course, online is the best way to learn because us students can surf internet-related subjects and resources regarding a topic. Just a Positive feedback, all in all, good job for creating learning files that are exquisitely specified. Thank you. ",5,4,4,4,"Please add more announcements or reminders. A tip would be including weekly notes. Overall, good performance. "
2023,BAHRM6120,5,5,4,5,5, ,5,5,5,5, 
2023,MBA103,5,5,5,5,5,The topics and the course are very useful and well explained.,5,5,5,5,The mentor is a very good.  All the topics are well explained.  Thank you very much.
2023,GE6108,5,5,5,5,5, ,5,5,5,5, 
2023,GE6100,5,5,5,5,5,"I would say that the platform is really helpful and convenient especially for those who are working or have other responsibilities but would like to get a degree, but I would just like to suggest an easier way for students in reaching out their questions or information that they want to be clarified because not all students have the same methods of learning like some are visuals, auditory etc. ",4,4,4,4,I haven't got the chance to reach out to my mentor because all materials are helpful to me. 
2023,RSCH123,5,5,5,5,5, ,5,5,5,5, 
2023,FABM121,5,5,5,5,5, ,5,5,5,5, 
2023,GE6115,4,5,4,4,5,"The course was interesting, fun and was really convenient despite the busy schedule I have I have easy access to my courses any where at anytime. ",5,5,5,5, 
2023,PHYED6102,5,5,5,5,5, ,5,5,5,5, 
2023,GE6101,4,4,4,4,4, ,4,4,4,4, 
2023,EDUC6331,5,5,5,5,5,I wish to request time 30 minutes on Quizzes. ,5,5,5,5,My mentor has his own style of changing the vocabulary on his questions he did a great job. 
2023,GE6101,5,5,5,5,5, ,4,4,4,4, 
2023,UCSP111,5,5,5,4,4,"Learning did not feel like a chore as I genuinely enjoyed the content within the course's modules. The course modules were well-written and informative and the contents were brief but concise and comprehensive. 

The only issues that I have with the course is that the modules contained a few typos ( but none too drastic ) and a couple or three of the long quizzes, short quizzes and learning activities contained errors wherein they marked the wrong answers as the correct ones and marked the right answers as the incorrect ones.",3,3,3,3,"Unfortunately, my LMS does not give me permission to speak with my professor. It's a shame because having had the ability to do so would have been a tremendous help as it would have given me the clarifications I needed regarding the questions I've conjured while on the course. Due to this inhibition, however, I cannot evaluate them as I am limited by my inability to speak with them.

Despite this, I genuinely enjoyed the course and I did so because of the quality of the content of its learning resources; for this, I would like to applaud my professor. The course modules were well-written, informative and the contents were brief but concise and comprehensive. "
2023,NSCI6101,5,5,5,5,5,All good,5,5,5,5,God's bless you
2023,ENTR122,5,5,5,5,5, ,5,5,5,5, 
2023,BAMM6301,3,3,3,4,4, ,4,4,3,4, 
2023,ENGL121,4,4,4,4,4, ,4,4,4,4, 
2023,ENGL6340,4,4,4,4,4, ,4,4,4,4, 
2023,CHEM122,3,3,3,3,3, ,4,4,4,4, 
2023,RSCH400,4,4,4,4,4, ,4,4,4,4,It's easy to reach out for help and follow-ups.
2023,ITE6300,5,5,5,5,5, ,5,5,5,5, 
2023,BAMM6204,5,4,3,3,4, ,4,4,4,4, 
2023,ENGL6321,5,5,5,5,5, ,5,5,5,5, 
2023,GE6300,5,5,5,5,5,Thankyou ,5,5,5,5,Thankyou
2023,BP007,5,5,5,5,5,none,4,4,4,4,none
2023,ECON122,5,5,5,5,5, ,5,5,5,5, 
2023,ENTR122,5,5,5,5,5, ,5,5,5,5, 
2023,ENTR122,5,5,5,5,5, ,5,5,5,5, 
2023,PEDH122,5,5,5,5,5, ,5,5,5,5, 
2023,RSCH122,5,5,5,5,5, ,5,5,5,5, 
2023,BENS122,5,5,5,5,5, ,5,5,5,5, 
2023,PHYC122,5,5,5,5,5, ,5,5,5,5, 
2023,MBA001,5,5,5,5,5, ,5,5,3,4, 
2023,PHYED6101,5,5,5,5,5, ,4,4,4,4, 
2023,BAMM6102,4,3,4,4,4, ,4,4,3,3, 
2023,GE6116,5,5,5,5,5, ,5,5,5,5,Please give us more time. Thankyou
2023,GE6116,5,5,5,5,5, ,5,5,5,5,Please give us More Time. Thankyou
2023,GE6104,5,5,5,5,5, ,5,5,5,5, 
2023,PHYED6101,5,5,5,5,5, ,5,5,5,5, 
2023,GE6116,4,4,5,5,5, ,4,4,4,5, 
2023,NSCI6214,5,5,5,5,5,The LMS easy to access and friendly to used. ,5,5,5,5,The mentors are very cooperative and attentive with the queries.
2023,BAMM6004,4,4,4,4,4, ,4,4,4,4, 
2023,EDUC6245,4,4,4,4,4, ,4,4,4,4, 
2023,MATH,2,2,1,3,3, ,2,3,2,3, 
2023,3LP1,5,5,5,5,5, ,5,5,5,5, 
2023,MBA601,5,5,5,5,5, ,5,5,5,5, 
2023,BP001,4,4,4,4,4, ,4,4,4,4, 
2023,PHYC121,3,3,3,3,3, ,3,3,3,3, 
2023,FILI121,4,4,4,4,4, ,3,3,3,3, 
2023,MEIL122,4,4,4,4,4, ,4,4,4,4, 
2023,PHYED6101,4,4,4,4,4,None ,4,4,4,4, 
2023,REM6122,4,4,5,4,3, ,4,4,4,4, 
2023,MBA603,5,5,5,5,5, ,5,5,5,5, 
2023,GE6300,3,4,4,4,4,Nothing because I'm satisfied ,4,4,4,4,Satisfied 
2023,COMM6102,5,5,5,5,5,"I have no suggestions for the course content, as I found the modules and presentations well explained, and easy to understand. ",5,5,5,5,"I have not tried reaching out yet to my mentor for this course, although I have already encountered Ma'am Jessierene from my previous courses taken, and she respond's as soon as possible, although I would appreciate if my mentor could give me more feedback in terms of the course project submissions, just so I know if there is at any way I could improve my work further. "
2023,EDUC6240,5,5,5,5,5,Modules and video presentation are easily to be understood.,5,5,5,5,Everything works well.
2023,ETHICS6375,5,5,5,5,5, ,5,5,5,5,NOTHING
2023,ENTR122,3,3,3,3,3, ,3,3,3,3, 
2023,EDUC6201,4,4,4,4,4,Some of the online references are pages that can not be opened,4,5,5,5, 
2023,GE6116,5,5,5,5,5, ,5,5,5,5, 
2023,ENGL112,5,5,5,5,5,to provide a direct email add or contact no with the instructor,5,5,5,5, 
2023,ECON122,3,3,3,3,3, ,3,3,3,3, 
2023,CHEM122,4,4,4,4,4, ,4,4,4,4, 
2023,COMM6240,5,5,5,4,4,"I would like to kindly suggest a double check on the modules and presentations provided, as I had encountered a problem with a certain chapter, where I saw the presentation and module do not have the same content. I also had encountered a Short Quiz that had question's that were not present in the discussion. And I think there was supposed to be an article attached to read first before taking the quiz. ",5,5,5,5,"I have not tried reaching out to my mentor yet for this course, but I hope she would be able to assist me if ever I have question's regarding the course project. "
2023,GE6116,5,5,5,5,5,none at this time,5,5,5,5,none at this time
2023,COMM6239,5,5,5,5,5, ,5,5,5,5, 
2023,GE6114,4,4,4,4,4,Some questions are repeatedly ask,5,5,5,5,MENTOR IS GOOD
2023,FILI6301,5,5,5,5,5, ,5,5,5,5, 
2023,PHYED6101,3,3,3,3,3, ,3,3,3,3, 
2023,GE6106,5,5,5,5,5, ,5,5,5,5, 
2023,MBA102,5,5,5,5,5, ,5,5,5,5, 
2023,GE6106,5,5,5,5,5, ,5,5,5,5, 
2023,GE6104,5,5,5,5,5, ,5,5,5,5, 
2023,NSCI6100,4,4,5,3,4, ,4,4,4,4, 
2023,ICT112,4,4,4,4,4, ,4,4,4,4,na
2023,UCSP111,5,5,5,5,5, ,5,5,5,5, 
2023,PEDH111,4,4,4,5,5, ,5,4,5,5, 
2023,BP001,4,4,4,4,4,"Overall, the course was helpful especially for people having a refresher like me.",4,4,3,3,Please check some of the pronunciations. It is very important especially the subject is in English. Students who are not good in English might cause some confusion on how to properly pronounce words.
2023,PEDH122,4,3,4,3,3, ,4,3,4,4, 
2023,GE6100,4,4,4,4,4, ,4,4,4,4, 
2023,HMRM111,5,5,5,5,5, ,5,5,5,5, 
2023,GMAT111,5,5,5,5,5, ,5,5,5,5, 
2023,ESCI111,5,5,5,5,5, ,5,5,5,5, 
2023,BESR122,4,4,4,4,4, ,3,3,3,3, 
2023,BESR122,4,4,4,4,4, ,3,3,3,3, 
2023,GE6104,4,4,4,5,4, ,4,4,4,4, 
2023,ICT112,4,4,3,2,4,none,3,3,3,3,none
2023,PSYC6502,5,5,5,5,5,This is one of the best modules I have read since day one. Could have been better though if the materials were up to date. Would help student's like me who are planning to take the board exam.,5,5,5,5,"Excellent as always. Thank you for your hard work, sir!"
2023,HMRM112,5,5,5,5,5, ,5,5,5,5, 
2023,RSCH121,5,5,5,5,5, ,5,5,5,5, 
2023,PHIL121,2,3,2,2,2,I suggest giving out clear instructions on what to focus on in lessons. It's extremely hard to study all the sites given.,4,5,4,4,I have  s
2023,ENGL121,5,5,5,5,5, ,5,5,5,5, 
2023,BAHRM6120,5,5,5,5,5,none,5,5,5,5,none
2023,BAMM6206,5,5,5,5,5, ,5,5,5,5, 
2023,FILI6301,4,4,4,3,3, ,3,3,3,3, 
2023,PDEV111,3,3,3,3,3, ,3,3,3,3, 
2023,MGT102,4,4,4,4,4, ,3,4,4,4, 
2023,GE6106,5,5,5,5,5, ,5,5,5,5,thank you
2023,MBA601,5,5,5,5,5, ,5,5,5,5, 
2023,GE6101,5,5,5,1,5,Overall is great. I learned a lot.,4,4,4,4,All good.
2023,GE6102,4,5,5,4,5, ,3,3,3,3, 
2023,ENTR122,5,5,5,5,5, ,5,5,5,5, 
2023,GE6114,5,5,5,5,5, ,5,5,5,5,The Math lessons prepared are easy to understand.
2023,BAMM6401,3,3,4,4,3, ,3,4,4,3, 
2023,GE6101,5,5,5,5,5,I hope you can make more video lecture with clearer explanation of all the modules.,5,5,5,5,All is good
2023,ENTR122,3,3,3,3,3, ,3,3,3,3, 
2023,GE6102,5,5,5,5,5, ,5,5,5,5, 
2023,MISPR6400,3,3,3,3,3, ,3,3,3,3, 
2023,ENGL6331A,5,5,5,5,5, ,5,5,5,5, 
2023,PSYC6501,5,5,5,5,5,I enjoyed learning with this subject. The relevance of the exams are very accurate to the subject being discussed. Thank you so much,5,5,5,5,He is responsive and attend my concern in a short period of time. Thank you.
2023,EDUC6230,3,4,3,4,5,The time limit ?? hoping to change to 30 minutes instead of 20mins. Thanks ,5,4,4,4,Hoping for the time to quiz and assignment will have an additional 10mins. Thank you mentor but all in all a good ?? 
2023,PSYC6102,5,5,4,5,5,I would like to suggest about the time limit of quizzes especially those that have a solving problem to have atleast 45 minutes or so. ,5,5,5,5,"The way of delivering a virtual lesson was very helpful, clear and very understandable. "
2023,3LP1,5,5,5,5,5, ,5,5,5,5, 
2023,ICT112,5,5,5,5,5, ,5,5,5,5, 
2023,BAMM6402,5,5,5,5,5, ,5,5,5,5, 
2023,GE6104,4,5,4,4,4,"Please update reference source link, as some source link were ready inactive. ",3,3,3,3,I have no interaction with my mentor. Purely module. 
2023,GE6116,5,5,4,5,5, ,5,5,5,5, 
2023,MBA105,5,5,5,5,5, ,5,5,5,5,"I have learned a lot from my Professor. I like his style of educating students, direct and effective."
2023,ENGL6331A,5,5,5,5,5, ,5,5,5,5, 
2023,COMP131,4,4,4,4,4, ,4,4,4,4, 
2023,ETHNS6101,5,5,5,5,5, ,5,5,5,5, 
2023,BP005,4,4,4,4,4,Overall is great in this course. It is very helpful especially for students having a refresher.,4,4,4,4,Thank you very much for preparing a video lecture.
2023,UCSP111,4,5,5,4,4, ,5,5,5,5, 
2023,REM6269,3,3,3,3,3,Presentation and module must be same,2,2,2,2,Since mentor is part time prof only most of the concerns aren't address properly.
2023,REM6234,5,5,5,5,5, ,5,5,5,5, 
2023,DIRR112,4,4,3,4,4, ,5,5,5,5, 
2023,GE6116,5,5,5,5,5, ,5,5,5,5, 
2023,PSYC6202,3,3,3,3,3, ,3,3,3,3, 
2023,FILI6101,4,3,4,4,4, ,4,3,3,4, 
2023,BAMM6006,5,5,5,5,5, ,5,5,5,5, 
2023,MBA004,5,5,5,5,5, ,5,5,5,5, 
2023,MBA902,5,5,5,5,5, ,5,5,5,5, 
2023,PSYC6102,3,3,3,3,3, ,3,3,3,3, 
2023,GE6116,5,5,5,5,5, ,5,5,5,5, 
2023,LAW6149,5,5,5,5,5, ,5,5,5,5, 
2023,GE6103,5,5,5,5,5, ,5,5,5,5, 
2023,ECON122,5,5,5,5,5, ,5,5,5,5, 
2023,GE6106,4,4,4,4,5, ,4,4,4,4, 
2023,CS111,3,3,4,4,3, ,3,3,3,3, 
2023,GE6100,5,5,5,5,5,Great to learn.,5,5,5,5,"Great  experience, Thank you!"
2023,GE6114,5,5,5,5,5, ,5,5,5,5,thank you
2023,GE6104,5,5,5,4,5,"The Gender and Society Course is overall incredible. I do recommend implying more for what the current trends are, since most contents and topics were general points or observations in society. But, the learning materials are good too. ",4,4,4,4, 
2023,GE6114,5,5,5,5,5,NONE SO FAR,5,5,5,5,NONE SO FAR
2023,MATH6103,4,4,4,4,4,I suggest to provide some video explanation for each topic,5,4,4,4, 
2023,EDUC6231,5,5,5,5,5, ,4,4,4,4, 
2023,GE6200,5,5,5,5,5, ,5,5,5,5, 
2023,MBA004,5,5,5,4,4, ,4,5,4,4, 
2023,MEIL122,4,4,4,4,4, ,3,3,3,3, 
2023,GE6300,4,4,4,4,4,The questions and answers on the quizzes were not the same answers on the module. Some questions were not mentioned on the module. Prof. Alyssa didn't correct the errors on the exams that I had concerns on. ,3,3,3,3,The questions and answers on the quizzes were not the same answers on the module. Some questions were not mentioned on the module. Prof. Alyssa didn't correct the errors on the exams that I had concerns on.
2023,PHYED6103,4,4,4,4,4, ,4,4,4,4, 
2023,GE6108,5,5,5,5,5, ,5,5,5,5, 
2023,PEDH122,4,3,4,4,4, ,4,3,4,4, 
2023,ENGL112,3,2,3,2,2,Need better examples.,5,5,5,5, 
2023,RSCH121,3,3,3,3,3, ,3,3,3,3, 
2023,PSYC6102,5,5,5,4,5, ,5,5,5,5, 
2023,GE6300,4,4,3,5,4, ,3,3,3,3, 
2023,ENGL6232,4,4,4,4,4, ,4,4,4,4, 
2023,GE6114,5,5,5,5,5,"It would be more helpful if video is available in the the lecture. However, the given links are also very helpful.",5,5,5,5,Thank you for your support.
2023,GE6200,4,4,4,4,4,"as for me, include other readings and articles about the Course subject, thats all. ",3,3,3,3,"nothing to say, no interaction to Environmental Science Professor"
2023,OFAD6006,5,5,5,5,5,Interesting ,5,5,5,5,Easy to learn 
2023,RSCH121,5,5,5,5,5, ,5,5,5,5, 
2023,BAMM6205,5,5,5,5,5,None.,5,5,5,5,None.
2023,ICT112,5,5,5,5,5, ,5,5,5,5, 
2023,IT6201,5,5,5,5,5, ,5,5,5,5, 
2023,FILI111,5,5,5,5,5, ,5,5,5,5, 
2023,GE6300,5,5,5,5,5, ,5,5,5,5, 
2023,ENGL121,5,5,5,5,5, ,5,5,5,5, 
2023,PSYC213,4,4,4,4,4, ,4,4,4,4, 
2023,ENTR122,5,5,5,5,5, ,5,5,5,5, 
2023,FILI6101,5,5,5,4,5, ,5,4,4,5, 
2023,PDEV111,5,5,5,5,4, ,2,2,2,3,none
2023,HUMSS126,5,5,5,5,5, ,5,5,5,5, 
2023,GE6103,5,5,5,5,5, ,5,5,5,5, 
2023,ACTG6495,5,5,5,5,5, ,5,5,5,5, 
2023,3LP1,5,5,5,5,5,Please add my course in selected program Bachelor of Science in Psychology is not included,5,5,5,5,Helpful and Informative
2023,BAMM6301,5,5,5,5,5, ,5,5,5,5, 
2023,GE6101,4,3,4,4,4, ,3,3,4,4, 
2023,PEDH111,5,4,4,4,4, ,4,4,3,4, 
2023,NSTP6101,4,4,4,3,4, ,4,5,4,4, 
2023,GE6103,5,5,5,4,4, ,5,4,5,4, 
2023,NSCI6100,5,5,5,5,5,im very well satisfied nothing to add or improve,5,5,5,5,Very good selection of study modules. I'm well learned regarding about on the course
2023,ENGL6001,4,3,4,4,3,A lot of grammatical errors in the final exams,4,4,4,4,I havenÂt spoke with the mentor yet. I just donÂt know why itÂs not showing as complete when every box has been ticked already for this subject.
2023,GE6200,4,4,4,4,4,please provide clearer text,4,4,4,4, 
2023,BAMGT6315,4,4,3,4,4, ,5,5,5,5, 
2023,GE6101,5,5,5,5,5, ,5,5,5,5, 
2023,GE6300,3,5,2,3,3, ,5,5,5,5, 
2023,ETHNS6102,5,5,5,5,5, ,5,5,5,5,The mentor prepared relevant topics.
2023,UCSP111,5,5,5,5,5,past response,2,3,3,3,who is the mentor to this course?
2023,LAW6254,4,5,5,5,4,There was one module where the caption of the illustration provided covered a portion of the notes. ,5,5,5,5,none
2023,NSTP6101,5,5,5,5,5, ,5,5,5,5, 
2023,ENGL6100,5,5,5,5,5, ,5,5,5,5, 
2023,EDUC6243,3,3,3,3,3, ,3,3,3,3, 
2023,COMP3,5,5,5,5,5, ,5,5,5,5, 
2023,ENGL112,4,3,4,4,4,The course content was well-organized.,4,3,4,4,The mentor was sincere in the way she show her desire to help us learn and grow.
2023,ENGL6103,4,5,5,4,4, ,5,5,5,5,The mentor provided essential materials in understanding the foundations of English.
2023,GE6304,5,5,5,5,5, ,5,5,5,5, 
2023,FILI6101,5,5,5,3,4, ,5,5,5,5, 
2023,GE6104,5,5,5,5,5, ,5,5,5,5, 
2023,GE6114,4,4,4,4,4,More videos and solving examples ,1,1,1,1,Keep in touch the students and give more exercises to practice the lessons
2023,BP002,5,5,5,5,5, ,5,5,5,5, 
2023,CS382,5,5,5,5,5,Thank you for this opportunity to study online,5,5,5,5,"Excellent, "
2023,ACTG6143A,3,3,3,3,3, ,4,4,4,4, 
2023,PHIL121,3,4,4,4,4, ,4,4,4,4, 
2023,MATH,5,5,5,5,5,No,5,5,5,5,na
2023,PHIL121,5,5,5,5,5, ,2,3,2,3,menthors availability
2023,IT214,5,5,5,5,5, ,5,5,5,5, 
2023,BFIN121,4,4,4,4,4, ,3,3,3,3, 
2023,GE6115,4,4,3,4,4, ,4,4,4,4, 
2023,PHYC122,5,4,5,5,5,"Genuinely one of the best, most in depth, and fun learning courses I've had, the material was generally well told with only minimal amounts ambiguity.

The only thing to complain about is the lab activity which is reliant on labster, but since there is no access to labster according to sir Jerson, I could only guess what was in the activity before partaking the the lab quiz, which made me get a low score since some of the problems had their values in the activity.

Otherwise, a very good course.",5,5,5,5, 
2023,ACTG6257,5,5,5,5,5, ,5,5,5,5, 
2023,ENGL6322,5,5,5,5,5,I am satisfied. Thank you!,5,5,5,5,I am satisfied. Thank you and God Bless!
2023,PSYC6502,3,3,3,2,3, ,2,2,2,2,NC
2023,GE6108,5,5,5,5,5, ,5,5,5,5, 
2023,GE6108,4,4,4,4,4, ,4,4,4,4, 
2023,3LP3,5,5,5,5,5, ,5,5,5,5, 
2023,IT6202,5,5,5,5,5, ,5,5,5,5, 
2023,GE6115,4,3,4,4,4,none. paki follow up nalang ng id ko.ty.,4,3,3,3,none. paki follow up nalang ng id ko. sobrang tagal ng process inamag na ata. ty.
