Date,Feedback,Department,Category,Type,Feedback_English,English_Cleaned_Feedback,Sentiment Compound,Sentiment Label
2019,To learn more in the engineering field which is in line with my work,All Units,Why did you enroll,VOC,To learn more in the engineering field which is in line with my work,learn engineering field line work,0,Neutral
2019,To become a degree holder,All Units,Why did you enroll,VOC,To become a degree holder,become degree holder,0,Neutral
2019,I want to succeed my ultimate goal in life; to finished my studies.,All Units,Why did you enroll,VOC,I want to succeed my ultimate goal in life; to finished my studies.,want succeed ultimate goal life finish study,0.5423,Positive
2019,because of my conflict schedule in my work and study.so that the reason why i choice Oed.,All Units,Why did you enroll,VOC,because of my conflict schedule in my work and study.so that the reason why i choice Oed.,conflict schedule work study reason choice oed,-0.3182,Negative
2019,I enrolled at AMA to be able to finish my degree even if I work full-time.,All Units,Why did you enroll,VOC,I enrolled at AMA to be able to finish my degree even if I work full-time.,enrol ama able finish degree even work full time,0,Neutral
2019,"I belong to the overseas filipino workers category and currently working outside the country. AMA Oed is the only online school that can give me flexibility in terms of my working schedule, it can also give me value when it comes to tuition fees as the tuition is not that much costly compared to other school. In addition to this, AMA has already established a name in the country and here also in the Middle East (Bahrain). When I want good and quality education of course, I want to graduate from a reputed and good university. And because they are the pioneer in computer studies in the country, the portal and the system that the online students are using is hassle free and interactive.",All Units,Why did you enroll,VOC,"I belong to the overseas filipino workers category and currently working outside the country. AMA Oed is the only online school that can give me flexibility in terms of my working schedule, it can also give me value when it comes to tuition fees as the tuition is not that much costly compared to other school. In addition to this, AMA has already established a name in the country and here also in the Middle East (Bahrain). When I want good and quality education of course, I want to graduate from a reputed and good university. And because they are the pioneer in computer studies in the country, the portal and the system that the online students are using is hassle free and interactive.",belong overseas filipino worker category currently work outside country ama oed online school give flexibility term work schedule also give value come tuition fee tuition much costly compare school addition ama already establish name country also middle east bahrain want good quality education want graduate reputed good university pioneer computer study country portal system online use hassle free interactive,0.9201,Positive
2019,I want to finish my studies and have a degree but I cant make it to traditional school that is why I enrolled at AMAU OEd. This is the only school that fits for me since I have a baby to take care of. I'm happy now that I can finally finish what I've started and at the same time I can take care of my family.,All Units,Why did you enroll,VOC,I want to finish my studies and have a degree but I cant make it to traditional school that is why I enrolled at AMAU OEd. This is the only school that fits for me since I have a baby to take care of. I'm happy now that I can finally finish what I've started and at the same time I can take care of my family.,want finish study degree cant make traditional school enrol amau oed school fit since baby take care happy finally finish start time take care family,0.9169,Positive
2019,I wanted to finish my studies,All Units,Why did you enroll,VOC,I wanted to finish my studies,want finish study,0.0772,Positive
2019,To finish my degree.,All Units,Why did you enroll,VOC,To finish my degree.,finish degree,0,Neutral
2019,i enroll in AMA OEDd to learn and finish college.,All Units,Why did you enroll,VOC,i enroll in AMA OEDd to learn and finish college.,enroll ama oedd learn finish college,0,Neutral
2019,I enrolled because I wanted to get a degree that is convenient to my schedule.,All Units,Why did you enroll,VOC,I enrolled because I wanted to get a degree that is convenient to my schedule.,enrol want get degree convenient schedule,0.0772,Positive
2019,I wanted to finish po my degree and the only possible way po is through Online University since I'm currently residing sa Singapore and may 3 po ako na anak na ina-alagaan.,All Units,Why did you enroll,VOC,I wanted to finish my degree and the only possible way is through online university since I'm currently residing in Singapore and I have 3 children to care for.,want finish degree possible way online university since currently reside singapore child care,0.5423,Positive
2019,To be able to continue and finish my studies.,All Units,Why did you enroll,VOC,To be able to continue and finish my studies.,able continue finish study,0,Neutral
2019,I am only graduated for 2 years course and suddenly migrated to another country so I don't have any means go back to regular schooling since I am already out of the country. Then i found out AMA OEd it gives me hope to study again so i grabbed the opportunity.,All Units,Why did you enroll,VOC,I am only graduated for 2 years course and suddenly migrated to another country so I don't have any means go back to regular schooling since I am already out of the country. Then i found out AMA OEd it gives me hope to study again so i grabbed the opportunity.,graduate year suddenly migrate another country mean go back regular school since already country find ama oed give hope study grab opportunity,0.6908,Positive
2019,convenience and easy access to people like me who does not have much time to go to regular universities to take our masters.,All Units,Why did you enroll,VOC,convenience and easy access to people like me who does not have much time to go to regular universities to take our masters.,convenience easy access people like much time go regular university take master,0.6597,Positive
2019,"It's online. I can easily juggle my work, family, and educational needs.",All Units,Why did you enroll,VOC,"It's online. I can easily juggle my work, family, and educational needs.",online easily juggle work family educational need,0.34,Positive
2019,Because I wanted to finish my degree.,All Units,Why did you enroll,VOC,Because I wanted to finish my degree.,want finish degree,0.0772,Positive
2019,The current company I'm currently working with do not hire a Supervisor or a Manager that is not a College graduate.,All Units,Why did you enroll,VOC,The current company I'm currently working with do not hire a Supervisor or a Manager that is not a College graduate.,current company currently work hire supervisor manager college graduate,0,Neutral
2019,to finish my studies.,All Units,Why did you enroll,VOC,to finish my studies.,finish study,0,Neutral
2019,I enrolled at AMA OEd to continue my studies without being judged of dropping out of my previous school 2 years ago.,All Units,Why did you enroll,VOC,I enrolled at AMA OEd to continue my studies without being judged of dropping out of my previous school 2 years ago.,enrol ama oed continue study without judge drop previous school year ago,0.2057,Positive
2019,I have Epilepsy and my health limitations prevents me from enrolling in a regular school for now. This is the reason why my parents opted to enroll me in a home schooling program for my Senior High School studies.,All Units,Why did you enroll,VOC,I have Epilepsy and my health limitations prevents me from enrolling in a regular school for now. This is the reason why my parents opted to enroll me in a home schooling program for my Senior High School studies.,epilepsy health limitation prevents enrol regular school reason parent opt enroll home schooling program senior high school study,-0.2263,Negative
2019,I enrolled at AMA OED because I'm currently employed overseas. OED open an opportunity for me to finish my degree in my own convenience.,All Units,Why did you enroll,VOC,I enrolled at AMA OED because I'm currently employed overseas. OED open an opportunity for me to finish my degree in my own convenience.,enrol ama oed currently employ overseas oed open opportunity finish degree convenience,0.4215,Positive
2019,To have control of my college schedule because of work,All Units,Why did you enroll,VOC,To have control of my college schedule because of work,control college schedule work,0,Neutral
2019,I have no chance to go to school except online. As currently I am working to support my family so I can't leave my job yet,All Units,Why did you enroll,VOC,I have no chance to go to school except online. As currently I am working to support my family so I can't leave my job yet,chance go school except online currently work support family leave job yet,0.5423,Positive
2019,i enrolled to AMA OEd because the online education is really convenient to me. This kind of program that AMA has is very helpful since I work in a BPO industry. I can work at the same time I am studying without any hassle thanks to online educ of AMA.,All Units,Why did you enroll,VOC,i enrolled to AMA OEd because the online education is really convenient to me. This kind of program that AMA has is very helpful since I work in a BPO industry. I can work at the same time I am studying without any hassle thanks to online educ of AMA.,enrol ama oed online education really convenient kind program ama helpful since work bpo industry work time study without hassle thanks online educ ama,0.6215,Positive
2019,The flexibility of learning I.T. wherever I go.,All Units,Why did you enroll,VOC,The flexibility of learning I.T. wherever I go.,flexibility learn wherever go,0.34,Positive
2019,"Working in full-time requires too much time that I couldn't have anymore time to go to school. At my young age, I still want to pursue college but I cannot compromise my job as I am the bread winner of my family. That is why I chose to study at AMA OEd.",All Units,Why did you enroll,VOC,"Working in full-time requires too much time that I couldn't have anymore time to go to school. At my young age, I still want to pursue college but I cannot compromise my job as I am the bread winner of my family. That is why I chose to study at AMA OEd.",work full time require much time anymore time go school young age still want pursue college compromise job bread winner family chose study ama oed,0.6249,Positive
2019,It's the most accessible education I could get and I learn better by myself. I also read great experiences by some students who also enrolled here and that's what really pushed me.,All Units,Why did you enroll,VOC,It's the most accessible education I could get and I learn better by myself. I also read great experiences by some students who also enrolled here and that's what really pushed me.,accessible education could get learn good also read great experience also enrol really push,0.7906,Positive
2019,First is i know AMA university as a famous schools and one of the leading IT schools in the philippines. Second is AMA OED is the first online school in our country. It gives us opportunity to all OFW's who dream to have a degree while staying abroad and at the same time we still can support our family financially. And lastly is i know i can trust to AMA OED.,All Units,Why did you enroll,VOC,First is i know AMA university as a famous schools and one of the leading IT schools in the philippines. Second is AMA OED is the first online school in our country. It gives us opportunity to all OFW's who dream to have a degree while staying abroad and at the same time we still can support our family financially. And lastly is i know i can trust to AMA OED.,first know ama university famous school one lead school philippine second ama oed first online school country give u opportunity ofw dream degree stay abroad time still support family financially lastly know trust ama oed,0.8689,Positive
2019,To improve my knowledge and to have a degree.,All Units,Why did you enroll,VOC,To improve my knowledge and to have a degree.,improve knowledge degree,0.4404,Positive
2019,"I was sick and I need to stop going go school because I kept on coming back to the hospital for two consecutive months and in that long time, I couldnt managed to even catch up to my school lessons and activities. Me and my mom decided that I should just take online schooling instead of stopping. When we talked about it, the first thing that came to my mind is the AMA Online Education. That's the reason why I enrolled in AMA Oed.",All Units,Why did you enroll,VOC,"I was sick and I need to stop going go school because I kept on coming back to the hospital for two consecutive months and in that long time, I couldnt managed to even catch up to my school lessons and activities. Me and my mom decided that I should just take online schooling instead of stopping. When we talked about it, the first thing that came to my mind is the AMA Online Education. That's the reason why I enrolled in AMA Oed.",sick need stop go go school keep come back hospital two consecutive month long time couldnt manage even catch school activity mom decide take online school instead stop talk first thing come mind ama online education reason enrol ama oed,-0.7717,Negative
2019,"I want to finish a degree, but at the same time I can work and earn money to sustain my education.",All Units,Why did you enroll,VOC,"I want to finish a degree, but at the same time I can work and earn money to sustain my education.",want finish degree time work earn money sustain education,0.0772,Positive
2019,"First of all, I want to continue my study while working because my knowledge is not enough to compete with others specially in business world. I prefer to enroll in AMA OEd, besides it is fit from my work schedule it also has low tuition fee compare to other schools here in Metro Manila. Furthermore, I do not have to ride a public vehicle just to get to school.",All Units,Why did you enroll,VOC,"First of all, I want to continue my study while working because my knowledge is not enough to compete with others specially in business world. I prefer to enroll in AMA OEd, besides it is fit from my work schedule it also has low tuition fee compare to other schools here in Metro Manila. Furthermore, I do not have to ride a public vehicle just to get to school.",first want continue study work knowledge enough compete others specially business world prefer enroll ama oed besides fit work schedule also low tuition fee compare school metro manila furthermore ride public vehicle get school,0.1779,Positive
2019,I enrolled AMA because i want to finish my study while i'm working with our own business... thanks to have online class because is easy for us to do while we are working and also to learn....,All Units,Why did you enroll,VOC,I enrolled AMA because i want to finish my study while i'm working with our own business... thanks to have online class because is easy for us to do while we are working and also to learn....,enrol ama want finish study work business thanks online class easy u work also learn,0.7269,Positive
2019,"To be able for me to complete my Bachelor degree, even if I have work.",All Units,Why did you enroll,VOC,"To be able for me to complete my Bachelor degree, even if I have work.",able complete bachelor degree even work,0,Neutral
2019,Bachelor Of Science In Business Administration Major In Management Information System,All Units,Why did you enroll,VOC,Bachelor Of Science In Business Administration Major In Management Information System,bachelor science business administration major management information system,0,Neutral
2019,Very convenient. I can take control of my time well. Thank you AMA,All Units,Why did you enroll,VOC,Very convenient. I can take control of my time well. Thank you AMA,convenient take control time well thank ama,0.5574,Positive
2019,Because i think learning online is more convenient than learning in a traditional school especially to those who are working students and for those who are married and still wants to continue their studies.,All Units,Why did you enroll,VOC,Because i think learning online is more convenient than learning in a traditional school especially to those who are working students and for those who are married and still wants to continue their studies.,think learn online convenient learn traditional school especially work marry still want continue study,0.0772,Positive
2019,I lived in United states since 2006 After i finish highschool in Philippines. It was a struggle to work and find affordable higher education in United States. pursuing higher education seems like a dream or lots of debt and hassle in U.S.A. I enroll at AMA OEd because i strive to pursue my higher education with an accredited school that i can use globally. before i moved to US i known AMA University is known to be pioneers of higher education specially in terms of Technology and for that im glad im officially part of it.,All Units,Why did you enroll,VOC,I lived in United states since 2006 After i finish highschool in Philippines. It was a struggle to work and find affordable higher education in United States. pursuing higher education seems like a dream or lots of debt and hassle in U.S.A. I enroll at AMA OEd because i strive to pursue my higher education with an accredited school that i can use globally. before i moved to US i known AMA University is known to be pioneers of higher education specially in terms of Technology and for that im glad im officially part of it.,live united state since finish highschool philippine struggle work find affordable high education united state pursue high education seem like dream lot debt hassle u enroll ama oed strive pursue high education accredited school use globally move u know ama university know pioneer high education specially term technology im glad im officially part,0.8074,Positive
2019,"i enrolled in AMA OEd mainly for my professional growth. AMA OEd was an answered prayer that i have been keeping in my heart since when i was an undergraduate student. i believe that having a bachelor degree success is in your grasp and progress is in your hand. i enrolled not just to acquire knowledge or to collect ideas and advancement, i enrolled to inspire others. that maybe someday in God's willing time i would inspire others to enroll and continue the once paused dream of theirs.",All Units,Why did you enroll,VOC,"i enrolled in AMA OEd mainly for my professional growth. AMA OEd was an answered prayer that i have been keeping in my heart since when i was an undergraduate student. i believe that having a bachelor degree success is in your grasp and progress is in your hand. i enrolled not just to acquire knowledge or to collect ideas and advancement, i enrolled to inspire others. that maybe someday in God's willing time i would inspire others to enroll and continue the once paused dream of theirs.",enrol ama oed mainly professional growth ama oed answered prayer keep heart since undergraduate believe bachelor degree success grasp progress hand enrol acquire knowledge collect idea advancement enrol inspire others maybe someday god willing time would inspire others enroll continue paused dream,0.9799,Positive
2019,I decide to enroll at ama because this is the very convenient education now in the phillippines. Ama give me the chance to continue my unfinished dream which is to go to school and have a diploma. Thank you Ama.,All Units,Why did you enroll,VOC,I decide to enroll at ama because this is the very convenient education now in the phillippines. Ama give me the chance to continue my unfinished dream which is to go to school and have a diploma. Thank you Ama.,decide enroll ama convenient education phillippines ama give chance continue unfinished dream go school diploma thank ama,0.6705,Positive
2019,"I enrolled AMA OEd for its own convenience. I can study anytime and anywhere, as an employed person, this is one great way to continue studying and finishing college in our own convenience.",All Units,Why did you enroll,VOC,"I enrolled AMA OEd for its own convenience. I can study anytime and anywhere, as an employed person, this is one great way to continue studying and finishing college in our own convenience.",enrol ama oed convenience study anytime anywhere employed person one great way continue study finish college convenience,0.6249,Positive
2019,To continue my studies while taking care of my son.,All Units,Why did you enroll,VOC,To continue my studies while taking care of my son.,continue study take care son,0.4939,Positive
2019,"Since I am already working, AMA OED is very important because i can study in my free time.",All Units,Why did you enroll,VOC,"Since I am already working, AMA OED is very important because i can study in my free time.",since already work ama oed important study free time,0.6249,Positive
2019,"i endrolled here at AMAOED to continue my study even if I am an employee,it is a big challenge for me..And,ofcourse, AMAOED is big opportunity for us, like me to gain my dream to have a degree...",All Units,Why did you enroll,VOC,"i endrolled here at AMAOED to continue my study even if I am an employee,it is a big challenge for me..And,ofcourse, AMAOED is big opportunity for us, like me to gain my dream to have a degree...",endrolled amaoed continue study even employee big challenge ofcourse amaoed big opportunity u like gain dream degree,0.875,Positive
2019,To complete my course while working.,All Units,Why did you enroll,VOC,To complete my course while working.,complete work,0,Neutral
2019,I want to pursue a Bachelor's degree and have my own diploma.,All Units,Why did you enroll,VOC,I want to pursue a Bachelor's degree and have my own diploma.,want pursue bachelor degree diploma,0.0772,Positive
2019,I need to fulfill my eagerness to get a degree and a diploma to have a better changing life. To get a better job. And to be proud of. AMA Oed rendered a better kind way of education because of my distance and line of work. Thank you AMAOED.,All Units,Why did you enroll,VOC,I need to fulfill my eagerness to get a degree and a diploma to have a better changing life. To get a better job. And to be proud of. AMA Oed rendered a better kind way of education because of my distance and line of work. Thank you AMAOED.,need fulfill eagerness get degree diploma good change life get good job proud ama oed render good kind way education distance line work thank amaoed,0.9694,Positive
2019,I want to pursue my studies while taking care of my daughter and my son. I want to prove that having children is not a wall in pursuing dreams.,All Units,Why did you enroll,VOC,I want to pursue my studies while taking care of my daughter and my son. I want to prove that having children is not a wall in pursuing dreams.,want pursue study take care daughter son want prove child wall pursue dream,0.7003,Positive
2019,for convenience for i am able to work and have more time with my family,All Units,Why did you enroll,VOC,for convenience for i am able to work and have more time with my family,convenience able work time family,0,Neutral
2019,Im traveling abroad.,All Units,Why did you enroll,VOC,Im traveling abroad.,im travel abroad,0,Neutral
2019,"Because studying online makes it convenient to study while working. I would enroll at a university but it would take time to go back and forth to school. By studying online, I can manage my time while working.",All Units,Why did you enroll,VOC,"Because studying online makes it convenient to study while working. I would enroll at a university but it would take time to go back and forth to school. By studying online, I can manage my time while working.",study online make convenient study work would enroll university would take time go back forth school study online manage time work,0,Neutral
2019,Online,All Units,Why did you enroll,VOC,Online,online,0,Neutral
2019,To be able to get a degree.,All Units,Why did you enroll,VOC,To be able to get a degree.,able get degree,0,Neutral
2019,Its affordable. and based on the reviews its good,All Units,Why did you enroll,VOC,Its affordable. and based on the reviews its good,affordable base review good,0.4404,Positive
2019,I enrolled at AMA OEd because I heard it was one of the most prestigious school in the Philippines and I believe that this school could help me reach my dreams.,All Units,Why did you enroll,VOC,I enrolled at AMA OEd because I heard it was one of the most prestigious school in the Philippines and I believe that this school could help me reach my dreams.,enrol ama oed hear one prestigious school philippine believe school could help reach dream,0.5859,Positive
2019,It is good for those who are working.,All Units,Why did you enroll,VOC,It is good for those who are working.,good work,0.4404,Positive
2019,To go to college without a set schedule that is given to in a physical college. I can give myself the pace to learn what is needed in my course.,All Units,Why did you enroll,VOC,To go to college without a set schedule that is given to in a physical college. I can give myself the pace to learn what is needed in my course.,go college without set schedule give physical college give pace learn need,0,Neutral
2019,"Back then, I was taking Psychology at the Pamantasan ng Lungsod ng Maynila. I was forced to leave my studies in the Philippines to migrate in Japan. Unfortunately, my former university do not offer distance learning programs. I am happy that I found AMAUOEd, I wouldnÂt be able to pursue my studies if not for it.",All Units,Why did you enroll,VOC,"Back then, I was taking Psychology at the Pamantasan ng Lungsod ng Maynila. I was forced to leave my studies in the Philippines to migrate in Japan. Unfortunately, my former university do not offer distance learning programs. I am happy that I found AMAUOEd, I wouldnÂt be able to pursue my studies if not for it.",back take psychology pamantasan ng lungsod ng maynila force leave study philippine migrate japan unfortunately former university offer distance learn program happy find amauoed wouldnâ able pursue study,0.2732,Positive
2019,"We all know the benefits of earning a college degree. For me personally, earning a college degree will help me to be promoted to a higher position and it will indeed lead to a better job security.",All Units,Why did you enroll,VOC,"We all know the benefits of earning a college degree. For me personally, earning a college degree will help me to be promoted to a higher position and it will indeed lead to a better job security.",know benefit earn college degree personally earn college degree help promote high position indeed lead good job security,0.9118,Positive
2019,It is hard to study in Canada without a PR card (permanent resident) and to get a study permit if very expensive.,All Units,Why did you enroll,VOC,It is hard to study in Canada without a PR card (permanent resident) and to get a study permit if very expensive.,hard study canada without pr card permanent resident get study permit expensive,-0.1027,Negative
2019,I want to have degree from a School that is not traditional.,All Units,Why did you enroll,VOC,I want to have degree from a School that is not traditional.,want degree school traditional,0.0772,Positive
2019,"We have family business to run, i cannot be bothered with traditional college anymore so online studies are the most practical for me",All Units,Why did you enroll,VOC,"We have family business to run, i cannot be bothered with traditional college anymore so online studies are the most practical for me",family business run bother traditional college anymore online study practical,-0.34,Negative
2019,"To Enhance my knowledge and to learn more,",All Units,Why did you enroll,VOC,"To Enhance my knowledge and to learn more,",enhance knowledge learn,0,Neutral
2019,To have a degree and to finish college with no hassle since i am working in a BPO company at the same time,All Units,Why did you enroll,VOC,To have a degree and to finish college with no hassle since i am working in a BPO company at the same time,degree finish college hassle since work bpo company time,0,Neutral
2019,"Because it is very convenient to study college at home especially when you have grandparents that you need to take care of and also if the student wants to work while studying, AMAOED is the best option or studying college online is the best option.",All Units,Why did you enroll,VOC,"Because it is very convenient to study college at home especially when you have grandparents that you need to take care of and also if the student wants to work while studying, AMAOED is the best option or studying college online is the best option.",convenient study college home especially grandparent need take care also want work study amaoed best option study college online best option,0.9169,Positive
2019,to pursue my dream course and finish it,All Units,Why did you enroll,VOC,to pursue my dream course and finish it,pursue dream finish,0.25,Positive
2019,"I want to pursue my dreams, to become a degree holder and to make my son proud of me.",All Units,Why did you enroll,VOC,"I want to pursue my dreams, to become a degree holder and to make my son proud of me.",want pursue dream become degree holder make son proud,0.6597,Positive
2019,To obtain a bachelor's degree while working and to make myself and my family proud. A kind of achievement which cannot be taken away from myself and also to boost my self confidence in pursuing further my goals in career aspect.,All Units,Why did you enroll,VOC,To obtain a bachelor's degree while working and to make myself and my family proud. A kind of achievement which cannot be taken away from myself and also to boost my self confidence in pursuing further my goals in career aspect.,obtain bachelor degree work make family proud kind achievement take away also boost self confidence pursue goal career aspect,0.91,Positive
2019,I want to finish a degree which I need for my promotion.,All Units,Why did you enroll,VOC,I want to finish a degree which I need for my promotion.,want finish degree need promotion,0.0772,Positive
2019,Im working here in UAE and my dream is to finish my study bt then i have no time to go back school and when I hear about online study offered by ama I try to enroll and its great .. i am working while studyig and ofcourse I dont have doubts because AMA is known in my country.,All Units,Why did you enroll,VOC,Im working here in UAE and my dream is to finish my study bt then i have no time to go back school and when I hear about online study offered by ama I try to enroll and its great .. i am working while studyig and ofcourse I dont have doubts because AMA is known in my country.,im work uae dream finish study bt time go back school hear online study offer ama try enroll great work studyig ofcourse dont doubt ama know country,0.8025,Positive
2019,"To learn more, and achieve higher degree.",All Units,Why did you enroll,VOC,"To learn more, and achieve higher degree.",learn achieve high degree,0,Neutral
2019,it's convenient as i am living abroad and determined to finish my education.,All Units,Why did you enroll,VOC,it's convenient as i am living abroad and determined to finish my education.,convenient live abroad determine finish education,0,Neutral
2019,To finish my studies,All Units,Why did you enroll,VOC,To finish my studies,finish study,0,Neutral
2019,to improve my life,All Units,Why did you enroll,VOC,to improve my life,improve life,0.4404,Positive
2019,"The one of the most convenient way to study. You can study at your pace, anytime and anywhere.",All Units,Why did you enroll,VOC,"The one of the most convenient way to study. You can study at your pace, anytime and anywhere.",one convenient way study study pace anytime anywhere,0,Neutral
2019,"Aside getting a degree, I got a great recommendation from a colleague with great reviews.",All Units,Why did you enroll,VOC,"Aside getting a degree, I got a great recommendation from a colleague with great reviews.",aside get degree get great recommendation colleague great review,0.8481,Positive
2019,Because it is convenient to my work.,All Units,Why did you enroll,VOC,Because it is convenient to my work.,convenient work,0,Neutral
2019,I enrolled in AMA Oed because this is the only way that i think I can pursue my studies. I am a mother and an employee.,All Units,Why did you enroll,VOC,I enrolled in AMA Oed because this is the only way that i think I can pursue my studies. I am a mother and an employee.,enrol ama oed way think pursue study mother employee,0,Neutral
2019,To earn a degree,All Units,Why did you enroll,VOC,To earn a degree,earn degree,0,Neutral
2019,"I enrolled at AMA OED because it is convenience at flexibility. As a full time Employee and also a mom of 2 kids, its really hard to study in a traditional school because it wants me to compromise my work which is not possible. Here in AMA OED i can study anytime and anywhere.",All Units,Why did you enroll,VOC,"I enrolled at AMA OED because it is convenience at flexibility. As a full time Employee and also a mom of 2 kids, its really hard to study in a traditional school because it wants me to compromise my work which is not possible. Here in AMA OED i can study anytime and anywhere.",enrol ama oed convenience flexibility full time employee also mom kid really hard study traditional school want compromise work possible ama oed study anytime anywhere,0.2516,Positive
2019,Because of my sister. Nasa U.S po sya and ako po nagbbantay sa mga anak nya. :),All Units,Why did you enroll,VOC,Because of my sister. She is in the U.S. and I watch her children. :),sister u watch child,0,Neutral
2019,I enrolled at AMA because it's convenient for me since I'm OFW.,All Units,Why did you enroll,VOC,I enrolled at AMA because it's convenient for me since I'm OFW.,enrol ama convenient since ofw,0,Neutral
2019,Great offer for me because I can manage my schedule on my studies while working.,All Units,Why did you enroll,VOC,Great offer for me because I can manage my schedule on my studies while working.,great offer manage schedule study work,0.6249,Positive
2019,To finish studying college without compromising work schedules.,All Units,Why did you enroll,VOC,To finish studying college without compromising work schedules.,finish study college without compromise work schedule,0,Neutral
2019,I shunned the idea of finishing my degree when I stopped studying 8 years ago. All my hopes to go back to school were long gone until AMA OEd came along. So there's another way to study and get that coveted degree without compromising our work-life balance. It still amazes me.,All Units,Why did you enroll,VOC,I shunned the idea of finishing my degree when I stopped studying 8 years ago. All my hopes to go back to school were long gone until AMA OEd came along. So there's another way to study and get that coveted degree without compromising our work-life balance. It still amazes me.,shun idea finish degree stop study year ago hope go back school long go ama oed come along another way study get covet degree without compromise work life balance still amaze,0.6369,Positive
2019,"I wanted to finish my college degree. Although im currently working, i still feel the need to have a Bachelor's Degree.",All Units,Why did you enroll,VOC,"I wanted to finish my college degree. Although im currently working, i still feel the need to have a Bachelor's Degree.",want finish college degree although im currently work still feel need bachelor degree,0.0772,Positive
